BoroCT2020,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2029600,-0.14290252,0.008322354,0.14537916,0.8715074,-0.7713505,1.1054355,-0.2105026,0.022969667,0.01997976,-0.22867768,0.7945928,-2.3464181,-0.859049,-0.18037516,-0.22763988,0.38248062,0.5035118,-0.34796548,0.30020228,0.1301892,-0.47265863,-0.16307002,0.52343565,0.1729558,0.65123904,1.7659115,1.3157895,-0.25208813,0.7548402,0.31647635,-0.26056576,-0.3430753,-0.6801295,-0.7787383,-0.36961645,-1.225766,0.106415115,-0.35972792,0.1905589,0.2633684,0.30384076,0.5886519,0.10634816,-0.032538064,0.6678398,0.7904551,0.9768918,0.6840845,0.24539734,0.025930608,-0.69720834,0.45257047,0.5529403,0.30435187,-0.52519274,1.0417168,-0.2641185,-0.078046404,0.55115855,0.88926363,0.23653221,0.32276672,0.043242767,-0.24991943
2020100,-0.4049773,-0.06457124,0.14778005,0.91342914,-0.73634344,1.1072901,-0.23102695,0.119035214,0.03921745,-0.22622952,0.99385464,-2.0332098,-1.0044587,-0.08439319,-0.2588791,0.35878837,0.54114926,-0.47866446,0.5560331,0.08690391,-0.4167585,-0.10269183,0.41454893,0.17832948,0.7733715,1.6422839,1.0218376,-0.3211867,0.7555498,0.27732366,-0.31600237,-0.3919138,-0.49405295,-0.7730611,-0.41212153,-1.2796013,0.25108075,-0.29197907,0.40711117,0.22270794,0.29057923,0.53354007,0.10710917,0.018130612,0.6809476,0.75879234,1.0932653,0.7129087,0.17725223,0.13232476,-0.75215316,0.5211841,0.6014407,0.44892755,-0.42577776,1.1808827,-0.26443815,0.022764029,0.54801434,0.79024184,0.36102748,0.5065811,-0.044598743,-0.13916181
5009602,-0.2990152,-0.16463873,0.25903717,1.0339547,-0.7012243,1.077309,-0.18033898,-0.00020032015,0.09541281,-0.15687679,1.1026937,-2.3422585,-0.9062199,-0.22825833,-0.47268873,0.2262036,0.56549555,-0.3760542,0.48511502,-0.063852735,-0.41885144,-0.21239336,0.48288733,0.27671042,0.78599125,1.528664,1.1845915,-0.43810472,0.6533096,0.29835448,-0.6254728,-0.40095878,-0.47480983,-0.9287087,-0.280766,-1.2702174,0.18101695,-0.14401531,0.31327692,0.4050869,0.441599,0.50361204,-0.019581476,-0.01621029,0.86939466,0.7407588,0.99988925,0.8459472,0.25945973,-0.011921368,-0.94077903,0.28853706,0.4800898,0.33717075,-0.6579477,1.2849033,-0.59738797,0.015596704,0.30524644,0.94436604,0.23633026,0.5481301,0.02517684,-0.13155152
5019800,1.1553469,-0.37954706,0.78269255,1.5719635,0.29953012,2.805498,0.29794246,-0.7402393,-0.4400655,0.30293167,-0.302524,-0.9919744,-0.3307314,-0.90683585,0.36646342,0.10320947,-0.15975232,2.030749,-1.9162326,-0.46734294,-1.2920964,0.26879087,-0.91875637,0.8241236,0.6007719,2.0715046,0.22175643,-0.5013632,0.058545087,0.03148844,0.10854203,-0.42052206,-1.4045776,-1.0217161,1.9516953,-1.273077,-1.1794955,0.6073269,-0.24555561,-0.06708665,1.2860044,-0.80571395,1.3515513,-0.74397206,1.3197271,1.4357678,-1.0503142,0.7953302,-0.14011775,-0.7556543,0.23129399,-0.29906118,0.54515135,1.4670497,-0.45441794,0.6181197,-0.19399774,0.9178421,1.0615276,-0.11989816,1.3663532,0.3963341,-0.20972319,2.8754
1029700,0.30385432,0.68948126,0.5479567,-0.0033613043,0.6149811,1.8536927,0.168381,-0.43201616,-0.28646964,-0.30409732,0.14568512,1.4261458,-1.263611,-0.847988,0.8909413,0.35472375,-0.36084688,0.37256727,0.24549241,0.26553708,-0.9296223,-0.46987653,0.63868815,0.8566237,0.04216089,1.762411,-0.95018697,0.21251842,0.9572555,-0.6508193,0.30188745,-0.2624673,-0.16629788,0.017825462,0.09163791,-0.4400424,0.33788976,-0.34627128,0.41315022,0.66702217,-0.2460247,-0.05224397,2.0472856,0.41631934,-0.02728801,1.359144,-0.035555262,0.594155,-0.58867365,-0.07484566,0.18810244,0.40231717,0.6843657,0.82446617,0.5431113,1.1440222,0.50897706,0.43299016,1.4436249,0.15642785,0.06292958,0.029549345,-0.14366607,0.263952
1020101,0.43886653,0.39061406,0.14862324,0.50070137,-0.32458338,0.88892007,-0.018347457,-0.17322706,0.06539949,-0.25233182,-0.107655786,-2.1666741,-0.7236594,-0.24503118,0.22816467,0.19786465,0.36881003,0.22029151,-0.5119336,0.39584878,-0.7590262,-0.08592106,0.63564235,0.071245566,-0.05538872,1.9167043,1.7026588,0.13453458,1.2862178,0.057758775,-0.02984112,-0.35796458,-1.616411,-0.6268201,-0.11429652,-0.7286779,0.024862329,-0.15485796,0.05529814,0.17429914,0.21238604,0.28502408,0.9831081,-0.45034063,0.5066311,0.7219211,0.056431912,0.26260093,0.18535748,0.049485896,0.25836352,0.6561155,0.45954,0.42309034,-0.712015,0.29166836,-0.013754717,-0.05197456,1.0667741,0.55678105,0.35915187,-0.056456443,0.17269862,0.12801409
1007100,0.05923573,0.5905575,-0.09806429,1.0318948,-0.64971536,0.9077848,0.49099913,-0.39619312,0.09483132,-0.5043839,-0.040480834,-3.7241893,-1.2389126,-0.6381372,-0.9592951,0.0771101,0.31596786,0.3400505,-0.12948714,-0.278492,-1.6877762,0.13601196,-0.33536342,-0.123322,-0.4350987,1.7668318,2.304008,-0.045458954,1.007182,0.396263,0.7605799,-0.35058522,-1.7038065,-0.39763826,0.40098667,-0.27500752,0.23275137,0.14026181,0.03620619,-0.58300114,-0.34326783,-0.869166,1.319691,-2.013772,0.6177733,1.3460871,0.36696368,0.8228258,-0.1552327,0.016618688,-0.115076594,0.8294213,0.36926123,0.91897964,-0.09109512,0.20744516,-0.9253595,0.30795407,1.4517062,0.8000562,0.24199894,0.6923931,-0.4421623,0.19466148
1004900,0.22882098,0.29998156,0.2505999,0.72242665,-0.58894557,0.9366868,-0.22242379,0.15246929,0.059407398,-0.31550455,1.0914721,-2.5962915,-0.78960663,0.032176457,-0.28443313,0.21999203,0.3422453,-0.16626401,0.24522671,0.13741939,-0.42383257,-0.29560667,0.31937027,0.419529,0.39635104,1.2560027,1.5032753,-0.10845956,0.956172,0.37856346,-0.45722345,-0.73665357,-1.0460689,-0.5190754,-0.17418279,-0.87056863,0.047979966,-0.005035139,0.18637085,-0.033500545,0.29310787,0.08055211,0.805784,-0.4577809,0.47900534,0.18595123,0.6812431,0.51363266,0.12639989,0.039432026,-0.55311143,0.325088,0.4971069,0.21459445,-0.3833146,0.86435896,-0.49717924,-0.26466438,1.070488,0.66121703,-0.070326276,0.23190585,-0.24166317,-0.105755664
1002201,0.3051385,0.38201782,0.2976951,0.9089018,-0.34670326,0.8083947,-0.014024176,-0.57239646,0.028955013,-0.38480213,0.28701144,-2.2644784,-0.8480218,-0.32752314,-0.21176158,0.16532648,0.37123594,0.45718184,0.09200428,-0.0049233246,-1.0632801,-0.106851384,0.074777886,0.16808662,0.029526765,1.5874369,1.3007545,-0.063358866,0.9085943,0.2634858,0.11975918,-0.489425,-1.0326188,-0.21241406,0.16840771,-0.6371763,0.059704974,0.04520212,0.30700174,-0.06815008,0.03182057,-0.23676868,1.3169129,-0.76767755,0.44270444,0.9203963,0.40586996,0.6399097,-0.082134284,-0.2204279,-0.17637265,0.4379404,0.35905972,0.52931315,-0.12455915,0.49531326,-0.3734196,0.2741582,1.446912,0.5478401,0.19271125,0.48982862,-0.12318589,0.14927778
1001200,0.38343453,0.6711535,0.34954667,0.7907887,-0.33051234,0.6391079,0.2331864,-0.4788924,0.07061344,-0.28098395,0.09596162,-2.3228736,-0.7327379,-0.3865999,-0.14808762,0.16605179,0.36400542,0.42084932,-0.023115937,0.09695458,-1.0578569,-0.0493615,0.18913902,0.23244464,0.08431267,1.5479867,1.1930468,-0.16963437,1.2000111,0.42582783,0.3299572,-0.5697168,-1.3589603,-0.33054492,0.28574428,-0.6786513,0.2454414,-0.004780808,0.09041657,-0.12176824,-0.09950977,-0.263645,1.3655446,-0.6651278,0.3426864,0.6331375,0.27930507,0.44479886,-0.16187082,-0.17999023,0.28048423,0.59584004,0.36856022,0.61163116,-0.10489113,0.47389042,-0.08251423,0.35764173,1.3610567,0.57075477,0.3891856,0.5779633,-0.27018917,0.2997724
