h3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
882a100113fffff,-0.19470474,0.46772385,0.046212148,1.3315599,0.5443766,-0.013674622,-0.87531227,-0.7358925,-0.36736682,0.1888337,1.183646,0.54538566,1.6542476,-1.5396423,0.061386213,0.47668552,1.2658648,0.2459813,-0.6653792,-0.64396286,1.2677212,-1.6874219,0.24038534,-0.23132695,-0.4545347,-0.550259,-1.4832025,-0.37432218,-0.6266809,-1.4056503,0.02279397,0.4592877,-1.5112315,-1.3762844,-0.052814025,1.4292938,0.32032105,0.28329942,-0.13798462,-0.53180856,0.28500602,0.6035291,0.59618735,0.93923664,-0.35020187,-0.2593917,-0.6316574,1.4990213,0.20161004,-0.5114585,0.9259057,1.5150578,0.4382382,0.18348464,-0.70085293,1.1013123,-0.9910684,-1.1426295,-0.022733161,-0.4110071,0.9281836,-0.6650682,-0.09428341,-0.10755137
882a100115fffff,-0.29753235,2.0590029,-0.39598933,1.0245252,-0.102258556,1.0688695,-0.66990423,-0.480622,-1.0089616,-0.45881763,0.7162099,0.7503543,0.30281737,-1.3509398,0.54371667,-0.3208224,1.0700531,0.19099745,-1.4720808,-1.6294492,0.011572011,-1.197237,-0.6549306,0.4705295,-0.67209107,-0.6861317,-1.5161875,-0.0143910395,-1.5771575,-0.6841964,1.1902502,-1.2221357,-0.997064,0.5748882,-0.22736079,1.1290767,0.2199675,0.9267086,-1.1331481,-0.07293114,0.75671357,1.2270344,1.0023514,0.6527986,-0.17417145,-0.4439392,-0.41218036,1.1355615,-0.7085376,-1.1728843,0.66638476,0.9499417,0.4862475,0.32923076,0.105666436,1.3658878,0.2921168,-0.8942283,0.49818787,-1.155213,1.7718561,0.065660976,-0.45435214,0.49096242
882a100117fffff,-0.64628947,0.4681174,-0.08449957,0.8209287,0.63029325,-0.081862584,-1.0814084,-1.2010319,-0.6218513,-0.4599328,0.8646844,0.59309316,-0.10443848,-0.88576406,-0.5302803,0.5212578,-0.0748028,0.6714245,0.15314868,0.11972362,-0.84658235,0.22602122,-0.7995847,-0.48200095,0.037447866,-1.2489444,-0.7625468,-0.40190387,-0.051380817,0.10418427,1.4429967,0.09591543,-0.4941499,1.3427495,-0.9159154,0.033058953,-0.7291931,1.9709193,-0.087505765,-0.02914779,-0.4019409,0.39232653,1.9617536,0.58442605,0.7081862,-0.023815874,-0.5177557,0.029092265,-0.49942583,0.6136778,-0.19012302,0.5494151,0.98555106,1.3505954,0.8082035,-0.30686045,-0.15211706,-0.27683845,-1.0566223,-1.63925,1.1174483,-0.70274764,-1.1769613,0.3814633
882a100119fffff,-0.22054769,1.0874168,-0.64490324,0.53761643,-0.21641672,0.24794136,-0.31231377,0.2593551,0.097691216,-0.11825447,0.78936183,0.32990518,1.8013204,-1.1302553,0.54895073,-0.38252568,1.6284858,0.44115904,-0.6872048,-1.3367424,1.015846,-1.4519817,-0.46098676,0.7544557,-1.4945867,-0.5205566,-0.7906042,0.29583377,-0.8886506,-1.6413616,-0.39266193,-0.77601784,-1.3357583,-0.3745239,0.77236134,1.0285857,1.0572188,-0.43009686,-0.1574631,-0.030944036,1.2321134,0.90126646,-0.3238789,1.0769569,-1.1356097,-0.96945727,-0.69237924,1.8743516,-0.5367321,-1.3901225,0.7617034,0.5862866,-0.5760971,-0.121018104,-0.2280358,1.6363604,0.019592581,-0.56469494,0.84283686,0.086081065,0.8875229,-0.10361068,0.098268196,-0.42885423
882a10011bfffff,-0.46571404,0.98946255,-0.1022834,1.2532796,0.7210604,0.26336804,-0.6778994,-1.2051008,-1.0525665,-0.17497447,1.1814034,0.42158842,1.0345718,-1.3210262,0.47343826,0.6738369,0.73356175,-0.1546658,-0.6990769,-0.4721914,0.80618197,-1.3611422,0.3074072,-0.19087929,-0.049513124,-0.4421684,-1.3918605,-0.38068372,-0.8285837,-0.8738569,0.3515901,0.62484515,-0.9632374,-1.2921093,-0.46814886,1.3998878,0.1602197,0.76344764,-0.65294784,-0.25023234,-0.25431442,0.6271542,1.1506339,0.07603027,0.3779183,-0.43196157,-0.7403478,0.76081634,0.7345067,0.04353595,1.0542696,1.3056188,0.9564366,0.6698368,-0.37360567,0.7628762,-1.1831071,-1.2039075,-0.3611306,-0.9566164,1.0587468,-0.72232646,-0.48491025,0.3938594
882a10011dfffff,-0.15846063,2.0742474,-0.121050656,1.3989787,0.34192488,0.90039074,-0.9946415,-0.59513247,-0.88669205,-0.56251425,0.6165426,1.1144791,-0.41399333,-1.3919797,0.08974137,-0.12964685,1.03055,0.40383223,-1.510291,-1.478381,-0.4514602,-0.48675013,-0.6442313,0.16514386,-0.35031667,-0.8302666,-1.5366796,-0.15101826,-1.5915657,-0.5635829,1.3502175,-1.3050827,-0.6847027,1.1661253,-0.49220634,1.1041822,-0.072147414,1.4596568,-1.1077683,-0.09362791,0.75185764,0.8809158,1.1791806,0.79804933,0.20800325,-0.19866568,-0.059226085,0.8632277,-1.5085421,-1.0480418,-0.016268564,0.5854301,0.53952426,0.4386942,0.25739405,1.0322506,0.62237144,-1.0767928,0.3595866,-1.3557347,2.1593134,0.11426331,-0.7217743,0.3800554
882a100121fffff,0.74558634,0.7648733,0.26053798,-0.1552605,-0.02839531,1.0084014,0.9758203,-0.62263834,-0.12799615,1.3077986,-0.62395394,-0.68763167,1.4032974,0.24709679,1.3729908,-0.18062797,-0.35057023,-1.5962256,-1.8441929,-1.4378835,0.8908508,-2.0690064,0.3490516,0.23131794,0.22509311,1.389081,-0.5341791,-0.9391559,-0.9748363,1.0295398,0.07880894,-0.08014845,-0.02530015,-0.9878994,-0.34522775,0.7327462,0.36469522,-1.0817145,-1.4664941,-0.771356,-0.77677745,0.4030648,1.0978341,-0.6130417,0.008870316,0.47405234,0.25889796,-0.7163329,1.7002523,-0.58414316,2.66818,0.7039271,0.9491318,-1.3871893,-1.4492685,-0.33813667,-1.0048214,-1.1142304,0.589305,0.36605704,-0.6186252,0.44609824,1.4067636,0.8403195
882a100123fffff,1.1837239,0.8356877,0.20616634,-0.40498358,0.016654124,1.1716895,1.3330069,-0.22160591,0.039729185,1.4373349,-1.128766,-0.17958827,0.47868863,0.81608605,1.3633585,-0.22757183,-0.5447896,-1.7217896,-1.8412118,-1.4111285,0.4841828,-1.4890898,0.50209475,0.38727245,0.57268107,1.8565418,0.23270053,-0.876866,-1.2164673,1.0546193,-0.5170379,-0.22881193,0.7588097,-0.582107,-0.3398426,0.57131606,0.40974557,-1.412561,-1.679942,-0.61807024,-0.8816609,0.15445656,0.62837934,-1.1276749,0.085148744,0.51860213,0.6017186,-1.1790015,1.4329013,-0.6491006,2.1505327,0.16859014,0.60257643,-1.6447793,-1.6409982,-0.54723006,-0.48779935,-1.1761099,0.95281494,0.68292034,-0.5281286,0.5306883,1.4144703,0.6038168
882a100125fffff,0.8205136,1.0705111,-0.27658892,-0.64420664,-0.56109095,1.2347072,1.0297136,0.30566728,-0.15859808,0.8887619,-0.6657184,0.33796588,0.65297556,0.54571956,1.3550763,-0.38472897,0.14080209,-1.2794396,-1.5249294,-1.5913321,0.5685659,-1.5746282,0.4887929,0.898212,-0.11588832,1.3565325,0.49411178,-0.14145337,-1.1923703,0.25055543,-0.88991106,-0.38265178,0.35612282,-0.7210565,-0.09113597,0.3102431,0.7497408,-1.4350631,-1.1816251,-0.016769975,-0.3289496,0.7166669,0.08929207,-1.008563,-0.38752905,-0.3001928,0.12673454,-0.46982676,1.2478338,-0.92825526,1.9435344,0.59609455,0.015248825,-1.2134911,-1.4797443,0.28926253,-0.34709692,-0.8117853,1.1103534,0.8204622,-0.27039352,0.013856089,1.0226083,0.27671242
882a100127fffff,0.8281967,0.9355663,-0.3305477,-0.58317685,-0.4826644,1.0213537,1.4754326,-0.17909317,0.29188704,1.5686674,-0.8541609,-0.90114,0.90874785,0.7817704,1.7659729,-0.6011313,-0.16988431,-1.4571934,-1.2948418,-1.2833954,0.5627969,-1.8451217,0.30292758,0.8629033,0.09141499,1.5819237,0.2816335,-0.58749104,-1.1063465,0.9770608,-0.69531906,-0.5379045,0.3869841,-0.6440034,-0.005223565,0.4085672,0.7379482,-1.6123356,-1.2626163,-0.37322316,-0.66888493,0.48038596,0.40640926,-0.98926514,-0.32919943,-0.03435372,0.09772047,-0.73845625,1.8260958,-1.0939598,2.4441395,-0.09653574,0.4704225,-1.7521671,-1.266358,0.0043037115,-0.5895178,-0.82820225,0.8931459,0.6438879,-0.86287045,0.7192475,1.5637339,0.51740354
