BoroCT2020,pop
1019200,8151.763655531674
1019300,40422.905304564
1019400,18048.875501982006
1019500,25479.31691806212
1019600,23042.999999953914
1019701,38933.63176231797
1019702,36112.61458222376
1019800,23927.69848969532
1019900,33309.6329525945
1020000,25095.299275646183
1020102,36106.99999981947
1020500,16367.562577339802
1020600,27907.600721921284
1020701,32726.15545335618
1020800,28706.03065232106
1020901,33441.0
1021100,19063.37625535893
1021303,34048.57643722169
1021400,34955.08626965055
1021500,23714.567326162058
1021600,30931.28544007373
1021703,25934.588403446036
1021800,33146.78002093925
1022000,29594.103667755815
1022102,24317.064347251337
1022200,24675.37064864949
1022301,37119.04193765467
1022400,23010.000000230102
1022500,25932.04354358568
1022600,24103.863284306655
1022800,27570.06653418868
1023000,34273.297376600836
1023100,34347.53274528222
1023200,37195.85260329765
1023400,35293.66191859658
1023502,29751.000000595017
1023600,29643.288375269927
1023700,34952.263461296076
1023802,16138.957193038808
1023803,10418.729692992907
1024100,28083.68473310289
1024200,13566.531358755466
1024301,34776.0
1024500,32332.845812323918
1024700,26040.56713124607
1024900,34929.796599873705
1025100,38362.614097666665
1025300,51846.66803415718
1025500,16833.26170004688
1025700,34266.25482576015
1026100,30635.934675921333
1026300,52488.762097313775
1026500,37738.99553711365
1026700,39064.04941998859
1026900,37880.19514154294
1027100,39884.81232533333
1027300,26383.300181672214
1027500,18294.86617104918
1028100,32048.803384616527
1029100,30887.20653810513
1029300,25562.37001180093
1029500,15994.414152010055
1030300,15278.15489996148
1030900,18524.881475242142
2000100,3376.2852836091606
2000200,6720.57374615014
2001600,13663.969803691778
2001901,5266.384431468211
2001902,10603.203390972147
2001904,0.47857424159744005
2002001,11293.52051273907
2002002,18011.898714952553
2002300,18315.55016698221
2002400,6551.2379927183265
2002500,12659.478424415405
2002701,13089.9410189324
2002702,13947.944196202445
2003700,21156.00000021156
2003800,21587.999999848882
2003900,27983.267935442083
2004001,17913.02270966001
2004100,27814.94179410562
2004200,19047.13816425788
2004300,24459.86212782386
2004400,21967.365396027657
2004600,11268.217371219585
2004800,23646.49918407184
2005001,20814.308714403127
2005002,27380.070896912217
2005300,11968.999999988031
2005400,27314.56092026011
2005600,21420.21253079033
2005902,29195.08023441137
2006100,26187.57801950803
2006200,17894.64431289289
2006302,21603.797910653855
2006400,19710.819386546034
2006500,26387.507250978175
2006700,23892.185453149246
2006800,24161.831260746247
2006900,21967.015992633755
2007000,20823.445073771105
2007100,21480.478153950506
2007200,20511.549758584544
2007300,20615.502952278293
2007400,11618.593062139573
2007500,24401.959822079898
2007600,24423.22479342779
2007700,25719.99999989712
2007800,14746.905966452314
2007900,22628.25159384559
2008300,16951.57686012089
2008400,6790.56950789441
2008500,16552.3693369152
2008600,13218.250698373851
2008700,25009.440116449638
2009200,16964.853383805515
2009600,9425.942135818577
2009800,11720.72408196084
2011000,1377.381060025511
2011701,3784.3570344736772
2011702,448.5390964056192
2011800,3038.4960753150003
2011900,20095.2459247332
2012101,22692.0
2012102,22691.99999984116
2012500,22967.02569777377
2012901,25043.307591160512
2013000,5596.746570877727
2013100,23453.06020308381
2013200,5190.985682536648
2013300,25728.382271063085
2013500,25421.383343847072
2013800,5282.985374599503
2014100,22886.282044666386
2014400,9967.042241647841
2014900,20612.231926244058
2015100,20524.883619293876
2015200,7616.577249634008
2015300,16126.46789511842
2015500,17930.272576236912
2015700,19496.70056642474
2015800,8130.229147111867
2016000,6194.611705217585
2016100,15066.029053640019
2016200,8417.0
2016300,11205.251816196973
2016400,7504.498397172749
2016500,17529.863038591597
2016600,4754.016054141681
2017100,27652.069242098263
2017300,26620.786332647567
2017500,28047.38620003806
2017701,40332.08341500283
2017702,38721.93520545943
2017901,50171.00000100341
2017902,50171.0
2018101,30506.22975545398
2018102,36476.1252107747
2018301,33642.0
2018302,32122.117374752954
2018400,7785.596334058575
2018502,26055.62532751644
2018900,11473.689856765735
2019400,3219.347854139239
2019500,34098.044079736435
2019700,38704.593138643184
2019900,29859.20411247963
2020200,16540.999999917298
2020400,16438.08987827373
2020601,20381.2820598271
2020900,39792.05804376154
2021001,25127.074550539593
2021002,28234.512485690022
2021100,35118.89322662018
