0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,BoroCT2020
0.42839274,-0.101643726,0.9686445,-0.006349392,0.2415544,0.8278403,-0.055576745,0.14061436,-0.015012921,0.5250256,-0.20102862,0.59290445,-0.018638497,-0.059712574,-0.12152557,0.15098052,-0.18728122,0.50412375,-0.19084358,-0.033212718,0.28856173,-0.0413597,-0.042498555,-0.07915051,-0.036215153,0.4593349,0.23489307,-0.1238637,0.5188826,-0.11638735,0.20229691,0.8840998,0.6083709,-0.25600252,0.30936477,0.41551238,0.2851231,0.6693717,-0.090463616,-0.010436539,0.3250271,0.8293455,0.18666078,-0.17830436,0.7436389,-0.11285641,-0.10353332,-0.039582632,0.1401266,0.08172159,0.73212755,0.26161933,0.028716484,0.21375336,0.25640297,-0.009344583,-0.27840307,-0.07162945,-0.108549245,0.44411388,0.2593228,0.24753693,0.052266747,-0.07814708,1003100
0.28752184,-0.13472652,0.960924,-0.0022950165,0.19853379,0.8279457,-0.05995717,-0.004755049,-0.020992525,0.46510938,-0.17810844,0.50171566,-0.020050863,-0.048212536,-0.0814178,0.086959176,-0.17799392,0.35821787,-0.1620135,-0.009924969,0.12734792,-0.046574414,-0.041248146,-0.06629606,-0.029899701,0.6646886,0.1158661,-0.123283826,0.5577554,-0.11860684,0.23066509,0.76772815,0.56726676,-0.22421037,0.22244379,0.45088878,0.22935939,0.40364063,-0.05436333,-0.021943644,0.18789509,0.75653344,0.2731087,-0.12900549,0.5202144,-0.10300025,-0.12291655,-0.043650527,0.24239993,0.15904757,0.710843,0.19308034,-0.006913364,0.09063077,0.2085538,0.13416341,-0.24344718,-0.093538895,-0.04119927,0.26040992,0.09740376,0.14643551,-0.016633706,-0.054238003,1003200
0.25891954,-0.08516677,0.64394796,-0.0026702492,0.24427785,0.42222884,-0.043486536,0.13551743,0.076905444,0.21840718,-0.16722232,0.4571741,-0.01754766,-0.078555256,-0.09032766,0.07593813,-0.18304732,0.5138177,-0.16613708,-0.045283135,0.24433964,-0.0075221756,0.07809462,-0.060119163,-0.00042558863,0.34948316,0.16360801,-0.098042615,0.31032073,-0.095950134,0.3540129,0.56025904,0.6089297,-0.19616947,0.20058437,0.37827516,0.15793344,0.34335095,-0.031289775,0.1355322,0.28854823,0.41089076,0.1492044,-0.12962508,0.46744338,-0.061865862,-0.08464937,-0.01242384,0.14312844,0.2362687,0.52898103,0.24604161,0.049158778,0.15387587,0.117557004,0.101398334,-0.23830454,-0.06564254,-0.08117943,0.46862674,0.04831432,0.11372107,-0.043862373,-0.07342382,1003300
0.326043,-0.06966437,0.6965048,0.0069569307,0.23334396,0.579792,-0.023845205,0.05795508,-0.014384134,0.29346094,-0.16044827,0.3596909,-0.024242777,-0.063861966,-0.07395414,0.094467044,-0.16600631,0.3835232,-0.15389206,-0.017761659,0.22105661,-0.031758823,-0.015811484,-0.054406706,-0.04624574,0.352498,0.1378413,-0.09690957,0.3634027,-0.0868175,0.1819443,0.65277743,0.51288044,-0.19475922,0.23935981,0.2741466,0.18361862,0.40146723,-0.04550214,-0.011118473,0.23418897,0.56334376,0.107983835,-0.113233,0.5802243,-0.05805988,-0.06352248,-0.019672839,0.16919981,0.14681296,0.5021929,0.22346412,0.06921982,0.14451443,0.07965976,-0.009763757,-0.21312,-0.07448369,-0.06975174,0.39970526,0.18155733,0.14984524,-0.0102237025,-0.06532514,1003400
0.33904576,-0.07523984,0.73881,0.005551821,0.23963575,0.6120036,-0.027871445,0.06694697,-0.014761201,0.3269407,-0.1674764,0.39555514,-0.024128221,-0.06325714,-0.08170048,0.10278891,-0.17157125,0.41229582,-0.16156007,-0.01978057,0.23889959,-0.03298379,-0.020301718,-0.058892693,-0.04681977,0.3739014,0.16259418,-0.10151177,0.39471704,-0.09042687,0.18180224,0.6934893,0.53884894,-0.20249659,0.24842517,0.28401968,0.19808264,0.4370722,-0.05086336,-0.012309401,0.24159203,0.60115075,0.11676267,-0.123326145,0.61308146,-0.0679351,-0.071710564,-0.025629992,0.17596745,0.14789797,0.54002345,0.2327806,0.06314,0.1526502,0.108692765,-0.008388171,-0.22435448,-0.07514319,-0.07476546,0.40351662,0.1788921,0.1620154,-0.006020915,-0.068185456,1003601
0.35095012,-0.13932346,1.0622597,-0.005705693,0.20290412,0.93278897,-0.07095522,-0.0018280095,-0.020985546,0.552236,-0.18803422,0.59361124,-0.0074415593,-0.04436598,-0.103962734,0.10083453,-0.18600465,0.41203585,-0.18894829,-0.012177842,0.17830274,-0.060149647,-0.052134406,-0.0740359,-0.037521888,0.66148263,0.19549096,-0.12882936,0.5977165,-0.120467424,0.20537266,0.9055468,0.6283484,-0.2482327,0.24846679,0.46130434,0.3075369,0.5569872,-0.07324525,-0.032573067,0.2159724,0.86471957,0.26261404,-0.16069062,0.6413859,-0.12960656,-0.1288779,-0.059688993,0.21732603,0.18343075,0.79250985,0.20965412,-0.0087148575,0.1234578,0.29713383,0.09353966,-0.2709898,-0.08538988,-0.06529579,0.2985786,0.14706571,0.15972173,-0.0029600523,-0.059144426,1003602
0.2534538,-0.13734451,0.9728002,0.0020247456,0.17563803,0.84890974,-0.074496135,-0.010661787,-0.028630637,0.5182332,-0.15582356,0.48360428,-0.014811055,-0.03687163,-0.07718069,0.065489486,-0.15234706,0.28834483,-0.15148067,-0.007664372,0.07353203,-0.053603917,-0.06062807,-0.06367157,-0.02926741,0.70681304,0.1238986,-0.1201781,0.5818833,-0.1072329,0.22845155,0.76768726,0.4797658,-0.20914637,0.17425554,0.4311173,0.28751984,0.4527464,-0.05915568,-0.037110545,0.14606605,0.7693768,0.2969178,-0.12899722,0.4963105,-0.11748254,-0.13221987,-0.039568428,0.203421,0.11580942,0.6894046,0.14644758,-0.022022549,0.0474444,0.25864878,0.16697781,-0.22321749,-0.08408471,-0.0318937,0.14871317,0.0774784,0.11376379,-0.011796553,-0.027535448,1003700
0.25191557,-0.07866737,0.6352628,0.0107620945,0.25447717,0.41319507,-0.037322212,0.11882936,0.06546053,0.21792412,-0.17156453,0.42629588,-0.021472596,-0.08737713,-0.08716184,0.079387486,-0.18154326,0.51249677,-0.16363263,-0.03771471,0.24406785,-0.006482431,0.08559482,-0.062547676,-0.005457065,0.3526125,0.15359817,-0.10165014,0.32878506,-0.0940797,0.36940557,0.55489767,0.60681725,-0.19782826,0.20315352,0.3602815,0.13909309,0.32532868,-0.03129654,0.13545047,0.278549,0.4015357,0.1320003,-0.1228609,0.49907878,-0.051860154,-0.08125893,-0.007144129,0.14267135,0.21139911,0.50628155,0.24820362,0.08595022,0.15721746,0.078198396,0.075282805,-0.23695077,-0.0686665,-0.07807343,0.47511312,0.04119293,0.113426395,-0.045363322,-0.07136333,1003900
0.32037842,-0.06854441,0.7258047,0.023560958,0.22338891,0.59404135,-0.025464118,0.06752468,-0.013786013,0.33855188,-0.17166404,0.37445316,-0.03640979,-0.07004404,-0.08701012,0.10738567,-0.14365368,0.34306142,-0.13843577,-0.024146797,0.22135442,-0.029329926,-0.027835699,-0.05678506,-0.02942813,0.34186217,0.10217764,-0.088010624,0.40586412,-0.09398234,0.16235289,0.6491084,0.46996835,-0.2004685,0.26445976,0.300523,0.16930531,0.47340083,-0.07034914,-0.005047635,0.23943537,0.5873785,0.1318879,-0.10069263,0.60032016,-0.056512423,-0.06574449,-0.009428256,0.06594663,0.045283213,0.506132,0.19260474,0.07665595,0.15503542,0.093853466,-0.017779121,-0.20649464,-0.06636038,-0.080477014,0.349894,0.21753454,0.23338206,0.0243783,-0.05930927,1004001
0.32656208,-0.11667583,0.8788748,0.019465985,0.23690341,0.7837282,-0.04989279,0.01694066,-0.010947238,0.3807232,-0.18440866,0.40537784,-0.027595416,-0.06369763,-0.069674134,0.06583498,-0.18250741,0.3611356,-0.1587745,-0.011132896,0.1659495,-0.037770294,-0.02043172,-0.060819454,-0.02949428,0.5807732,0.07527491,-0.11224485,0.4666814,-0.11031961,0.25044647,0.71722734,0.56230074,-0.22416426,0.24834299,0.4452503,0.18684897,0.39493948,-0.049040597,-0.013434977,0.2160524,0.69430375,0.21975246,-0.11763175,0.51625353,-0.069899075,-0.09943398,-0.023687592,0.19779274,0.1256562,0.63398683,0.1740783,0.023129066,0.08909757,0.09786168,0.06573692,-0.23597763,-0.091936246,-0.055080798,0.32849848,0.1549777,0.16319995,-0.027270976,-0.06054928,1004002
