GEOID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
17031010702,0.89249015,0.8245688,0.9372236,0.6159741,0.65505826,1.01322,0.9641284,1.0643787,0.7819574,0.41423523,0.5556607,0.47375613,0.73411894,0.8296751,0.48696,0.6491046,0.65005565,0.5052651,0.8574487,0.8400984,0.38366622,0.87163377,0.87598944,1.0091783,0.5768564,0.8166022,0.95560825,0.75320554,0.6818471,1.0425127,0.6504653,0.55210954,0.45034426,0.95332694,0.66710335,0.7666661,0.69085705,0.77923554,0.55114174,0.52379185,0.8997602,0.4532927,0.5272367,0.65447927,0.52606523,0.56973994,0.64299345,0.89358544,0.56035984,0.5437555,0.97721606,0.861356,0.85480857,0.65613085,0.58776945,0.56233895,0.83855915,0.4178658,0.4792632,1.2435017,1.0670741,0.7327704,1.0521117,0.6807554
17031020100,0.87201726,0.9159523,1.0025523,0.72691214,0.6489488,1.1399875,0.9632731,1.2070037,0.96117496,0.41295785,0.6095789,0.47901163,0.72536385,0.87098056,0.5664625,0.5760374,0.67054236,0.54298294,0.89300483,0.7633118,0.36173904,0.9938755,1.0911827,0.95653546,0.6217369,0.99304485,0.9789505,0.82068396,0.8105515,1.0270945,0.75496614,0.5722001,0.46296155,1.0571426,0.786711,0.8253324,0.71975315,0.8836248,0.57676107,0.58552665,0.8921178,0.47436345,0.602312,0.5914191,0.5872508,0.5809255,0.761969,1.0197023,0.6405001,0.5572324,0.95922005,0.83218485,0.9253886,0.71373546,0.5832422,0.64200175,0.9194615,0.42473018,0.5392022,1.3302418,1.1985224,0.7904459,1.2421887,0.705298
17031020200,0.88114065,0.8098354,0.8251219,0.7370088,0.6865839,1.0359865,0.9389466,1.0112591,0.743817,0.40828693,0.6258168,0.5057566,0.7560102,0.86397624,0.43220174,0.64891267,0.60882944,0.51265323,0.8107428,0.7747537,0.3962906,0.85771656,0.959166,1.0092285,0.61727977,0.8622353,0.9489596,0.71899223,0.65884984,1.0452708,0.62736404,0.56096816,0.45213866,0.9049929,0.7059037,0.8181356,0.7135997,0.85303575,0.5884961,0.5436041,0.91623276,0.4962456,0.6233304,0.51206535,0.5465416,0.58877987,0.7052571,0.80813605,0.49263683,0.5226232,0.998065,0.85005295,0.887228,0.7506038,0.6182564,0.5373219,0.8148439,0.40042868,0.49933773,1.1686094,1.0882057,0.6684071,1.0943763,0.7144231
17031020301,0.8380995,0.9511361,0.8280715,0.698014,0.60841185,0.99879277,0.93131983,1.0156045,0.7715933,0.4155757,0.6085864,0.44182095,0.7688899,0.8790711,0.5167761,0.72039795,0.6689053,0.4637311,0.75861675,0.85401225,0.43112963,0.8596921,0.91820693,1.1181443,0.58247566,0.82087266,0.917489,0.68172216,0.72265106,1.0180204,0.6398466,0.5988138,0.45314437,0.87888044,0.68492585,0.7352781,0.7368822,0.82236725,0.6075351,0.558812,0.9144112,0.48871437,0.5392923,0.68297344,0.52840316,0.60256195,0.6866566,0.7990001,0.54390025,0.5048534,1.0530697,0.9600143,0.87643766,0.73867077,0.6818482,0.5739877,0.77296364,0.4295839,0.53334814,1.1283427,1.0917282,0.7067883,1.0329179,0.76146954
17031020302,0.7991577,0.89494073,0.9859439,0.6764517,0.71012616,1.1543777,0.9661578,1.1860168,0.91331214,0.417351,0.66046834,0.4641096,0.72523975,0.9742608,0.49415654,0.7040039,0.642462,0.48696774,0.8254291,0.893921,0.39072424,1.0291897,0.9735005,1.0046165,0.60351324,0.9928718,0.9331789,0.7773162,0.7126539,1.0549875,0.765099,0.60511804,0.40507674,1.0722213,0.73493266,0.7513895,0.7443112,0.80991733,0.6040464,0.601903,0.92653954,0.4528607,0.52346736,0.6107235,0.55626863,0.5902576,0.756359,1.0049205,0.57112014,0.55307734,0.9976573,0.8915237,0.9391941,0.7029004,0.64836,0.60710216,0.880713,0.43799594,0.5833629,1.2842901,1.2339523,0.7988616,1.196487,0.7772106
17031020400,0.868546,0.8890514,0.9143386,0.69170797,0.73625344,1.0844836,1.0378357,1.0996399,0.8834616,0.39377433,0.64594865,0.44892263,0.7099206,1.036378,0.5621438,0.7105862,0.71787894,0.48096478,0.8824204,0.8970758,0.38990164,0.9693078,1.0808223,0.97745013,0.6405499,0.99035704,1.0669609,0.8146466,0.63879555,1.0174465,0.6791363,0.6363823,0.47703597,0.98328346,0.8040427,0.8465764,0.7291302,0.95472646,0.5877018,0.62363565,0.9112089,0.5075009,0.60415363,0.5964852,0.53832644,0.6188372,0.6831156,0.9047576,0.57968503,0.5390871,1.1043564,0.9802163,1.0054674,0.7301252,0.6035326,0.5239092,0.8569943,0.35489845,0.4058583,1.2026222,1.1994987,0.81656957,1.2131624,0.8594762
17031020500,0.89569753,0.86465085,0.85723275,0.6060909,0.69235015,1.0345765,1.0109621,1.0028244,0.777858,0.4236659,0.58734167,0.4864434,0.75452745,0.9263232,0.4680732,0.64583194,0.6406189,0.56699264,0.898927,0.8791681,0.41438258,0.82297075,0.9271532,1.0232522,0.6066414,0.8171262,1.0420697,0.75401056,0.70387787,1.0554098,0.6286733,0.6188682,0.49158418,0.87861997,0.7296305,0.78644574,0.7010422,0.90867496,0.55880314,0.5530403,0.93504286,0.45858046,0.5162952,0.5678206,0.5399322,0.59080184,0.67783433,0.84851253,0.57156694,0.56066644,1.0578351,0.86613387,0.95927584,0.7112073,0.60714257,0.58496946,0.8436637,0.4096816,0.47225162,1.2253402,1.07661,0.7350019,1.1246786,0.77926135
17031020601,0.90716654,1.0252788,0.825958,0.64726114,0.7879771,1.0271474,1.092376,0.9584615,0.7631368,0.4192308,0.59652495,0.4738385,0.7943462,1.03907,0.4697923,0.71098626,0.62613666,0.59361196,0.8659679,1.0171959,0.39137506,0.7667562,0.92461693,1.1579106,0.61426234,0.7298361,1.1377531,0.7227125,0.65730315,1.0166388,0.6045194,0.7101078,0.46744436,0.84111476,0.73933214,0.7914962,0.7587027,0.9484954,0.52937627,0.5286437,0.84636986,0.41359654,0.5581575,0.71926737,0.5426291,0.639421,0.67783296,0.7966285,0.58050275,0.5577785,1.0653151,0.9258294,1.0577943,0.7670089,0.6314757,0.6140145,0.81419873,0.4488212,0.4844752,1.1587882,1.0162472,0.70853865,1.0564806,0.9007667
17031020602,0.9087621,0.94157326,0.9710617,0.77935725,0.76170444,1.139149,0.93233097,1.143362,0.92755985,0.430282,0.6855587,0.36372268,0.7655933,0.8558626,0.51479316,0.651794,0.7449629,0.5498897,0.87182665,0.80921006,0.37880698,0.9756285,1.0907297,0.9962663,0.6879495,1.0700577,0.920146,0.78543806,0.7027502,1.046457,0.7374528,0.5637225,0.49280953,1.0390699,0.8216529,0.80638885,0.69724125,0.88244736,0.5869485,0.58914584,0.9278528,0.47760117,0.51434237,0.6539397,0.5906956,0.56869864,0.7407018,0.9683458,0.6094136,0.55443776,0.9801167,0.8656135,0.9200957,0.83805484,0.56294113,0.65073264,0.87638754,0.41487092,0.48195007,1.2542526,1.1466464,0.8106079,1.2327927,0.69393253
17031020701,0.83006966,0.8152286,0.92794573,0.7055824,0.6115804,1.095932,0.9119807,1.1013849,0.8295419,0.43645406,0.6345289,0.4205885,0.758958,0.8733257,0.4417224,0.65956426,0.6469277,0.5354916,0.8151684,0.82688034,0.39917725,0.94508743,0.96527386,0.98423946,0.6513021,0.88205135,0.930331,0.7376659,0.665106,0.9873908,0.70516974,0.6016568,0.45626813,1.0015926,0.709442,0.7384619,0.73909473,0.8535569,0.58753884,0.5808095,0.86285436,0.4912701,0.5082119,0.5227183,0.55204344,0.5960432,0.7338923,0.90576833,0.550508,0.52835983,1.0000321,0.7934485,0.90420496,0.7342887,0.5879768,0.618518,0.8196702,0.42878014,0.523824,1.2100837,1.1377702,0.77676845,1.1329285,0.7273326
