BoroCT2020,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1001300,0.20657954,0.61666775,1.2606198,0.73087144,0.34864214,1.2969197,0.6361926,1.2855798,1.2080976,0.26575688,1.067035,1.5409641,0.22526392,1.7406261,0.3114624,0.37411314,0.36671,1.6384832,1.0057926,0.5625148,2.1087315,0.3858058,0.2600847,0.80626357,0.5769535,0.7340504,0.40360975,1.305663,1.4294344,0.5584425,1.0541308,1.154344,1.1241566,0.7784653,0.64208674,0.58710134,0.5174874,0.6345962,0.48189175,0.35283792,0.86166215,1.4297762,0.7698405,0.6783291,0.96444815,0.52884555,1.225134,0.27745628,0.75586355,0.51210296,1.7073566,1.0451721,0.6345902,0.68442696,0.485942,1.119703,1.2786943,0.6994732,1.4081967,0.799761,0.9267695,1.3423494,0.6333602,0.61590236
1001401,0.22094885,0.7450182,1.7558471,0.893092,0.41238222,1.7810175,0.25368565,1.7663313,1.3710754,0.521828,1.1823086,1.0031476,0.22669451,2.2684574,0.3660797,0.593627,0.38864368,2.1784143,0.6246028,0.66752994,2.7288694,0.5390528,0.2635849,0.8696785,0.79571444,0.58384687,0.54228896,1.7202337,1.6713026,0.62230486,1.2637194,1.5635405,1.2471893,0.7677556,0.56888425,0.7411442,0.84535426,0.6906893,0.5254663,0.30256975,0.9185966,1.897486,0.8947338,0.7242655,0.89030963,0.57388175,0.6279579,0.3767113,0.7880067,0.64622873,2.1236942,1.2594755,0.8063007,0.8604698,0.54668486,1.541581,1.7689173,0.76466393,1.9621761,0.9049611,1.1111926,1.4810753,0.40214202,0.63631004
1001402,0.16543876,0.5284019,1.4715173,0.75434965,0.34385473,1.5017142,0.7631506,1.4623494,1.2080806,0.25042695,1.0677502,1.7601688,0.19762523,1.8625046,0.30275393,0.38510916,0.34834132,1.8229411,1.134556,0.5868688,2.3590693,0.34648818,0.19828835,0.91018534,0.5507977,0.7209704,0.42319936,1.4671605,1.4548724,0.65007716,0.9711483,1.2541871,1.0593345,0.78563106,0.7242811,0.51328534,0.57008284,0.6261872,0.49300152,0.38200653,0.83340615,1.6171865,0.74981153,0.65414363,1.017984,0.5771035,1.4542712,0.29302052,0.7627548,0.48296356,1.7484735,1.0775149,0.59922767,0.65318906,0.43341476,1.267926,1.495713,0.71937805,1.5998967,0.7452729,0.90867895,1.3540238,0.7402346,0.55865884
1001501,0.17292109,0.5634367,1.3940642,0.7746995,0.3985133,1.4230468,0.7637129,1.4414064,1.2289819,0.29195997,1.1265473,1.7327888,0.2396379,1.8547435,0.3286266,0.4432673,0.3397895,1.7583439,1.0709364,0.54840565,2.2958796,0.3741666,0.2450003,0.8477248,0.5956075,0.6959611,0.40455794,1.3756815,1.4635657,0.6092833,0.9939326,1.2746139,1.0912606,0.7691145,0.66672796,0.59762895,0.5502748,0.629295,0.48998952,0.4064295,0.8730077,1.5342965,0.81219864,0.64346004,0.94025135,0.5963138,1.4417675,0.30838612,0.7820008,0.51406324,1.7435167,1.0778086,0.69523305,0.6847236,0.47161123,1.2174007,1.3903741,0.73330843,1.5223309,0.7576926,0.88418305,1.4001441,0.76748556,0.6262042
1001502,0.18187681,0.48975205,1.4625472,0.7990402,0.37142682,1.492517,0.6865584,1.489294,1.1215851,0.30942303,1.0488709,1.5763218,0.22180808,1.8998191,0.30287474,0.46133572,0.331188,1.8342179,1.0081075,0.50689834,2.304732,0.37696248,0.23666319,0.8636379,0.5968778,0.8692745,0.3636652,1.4583932,1.3889635,0.6236826,0.8985902,1.3361704,0.9715302,0.8036001,0.75210106,0.5630977,0.53323746,0.6435237,0.4939316,0.35836536,0.8820381,1.6023002,0.7911155,0.5653966,1.037374,0.5905953,1.2838084,0.32398075,0.7278636,0.52966845,1.6872678,1.0439471,0.6817627,0.6531724,0.504055,1.278647,1.4645634,0.6843083,1.5805334,0.6674068,0.78485477,1.3406028,0.67410964,0.67121315
1001600,0.19376013,0.579661,1.4241942,0.82552767,0.33758894,1.4602016,0.7121942,1.4365048,1.2594756,0.26544517,1.1071045,1.6749513,0.22533548,1.9323137,0.2965848,0.42804044,0.3297357,1.8025988,1.0330713,0.4893556,2.3272433,0.35855424,0.24511409,0.86688054,0.5615932,0.8320664,0.35182798,1.4015493,1.4629526,0.6613292,1.0769751,1.2687634,1.0902419,0.83804166,0.72588015,0.5811821,0.4685492,0.6271556,0.4939512,0.3527933,0.956437,1.5320706,0.79642314,0.6650504,1.0461892,0.5684572,1.3410945,0.299035,0.71532696,0.50814027,1.7078947,1.0796297,0.64605284,0.64670694,0.4731242,1.2337251,1.4535844,0.69390243,1.533239,0.78241414,0.91515756,1.4114385,0.71416,0.6249585
1001800,0.19828835,0.55182207,1.361974,0.80663764,0.32274693,1.3851879,0.72329473,1.3469319,1.2425139,0.30025482,1.0997132,1.6813557,0.21225779,1.8090734,0.30346382,0.37898892,0.34721708,1.7252392,1.020004,0.5171344,2.2655745,0.33552778,0.26416197,0.8067387,0.5679769,0.7590981,0.3537587,1.3436973,1.4590442,0.58312845,1.0076203,1.2323413,1.063967,0.80187947,0.62863135,0.5366035,0.46363166,0.5996859,0.5133655,0.31911248,0.86029196,1.4823092,0.79303944,0.65127134,0.98700404,0.57280713,1.3538227,0.3108658,0.6764285,0.528919,1.7106085,1.0681922,0.59355134,0.5815886,0.4662903,1.189769,1.3850125,0.7034986,1.4740984,0.7533529,0.8715259,1.3941958,0.7019013,0.6248222
1002000,0.25205362,0.7937351,1.7202117,1.3505077,0.43769017,1.7331423,0.42000574,1.7677219,1.5271735,0.45955184,1.1968346,1.232744,0.3140349,2.124969,0.4522061,0.64931774,0.5121553,2.1212416,0.57434076,0.7241065,2.6477818,0.43299425,0.46126893,0.88294566,0.73233026,0.9585458,0.4525587,1.608527,1.6023535,0.8374192,1.288621,1.5756296,1.448517,0.8971405,0.70689785,0.5628176,0.7053888,0.60199547,0.5930642,0.3121705,1.0617738,1.7718946,0.9773263,0.86335456,1.0570644,0.6528696,0.8012186,0.39081553,0.7576486,0.62462205,1.8935369,1.172848,0.82610524,0.6658021,0.61828744,1.4438368,1.6909686,0.8557129,1.871491,1.0013554,1.2164377,1.5550708,0.34967574,0.7011559
1002100,0.19128874,0.6395887,1.2502791,0.838644,0.40935016,1.3006247,0.68961906,1.3029295,1.3038118,0.25485274,1.1288102,1.6522554,0.23390397,1.7415972,0.27659917,0.4440607,0.3123212,1.6300896,0.9947317,0.4860702,2.1707098,0.3906002,0.24576989,0.80579334,0.5309587,0.7964059,0.36917913,1.2477143,1.4913468,0.68099,1.094044,1.1723737,1.170585,0.81118345,0.69385624,0.55561393,0.56833136,0.5799807,0.51155555,0.37268457,0.93817973,1.4088738,0.7966063,0.6936301,1.0154698,0.53720874,1.3209909,0.28254828,0.7662287,0.51034564,1.7770483,1.0789248,0.7008964,0.6846593,0.48149768,1.1208669,1.253505,0.74057025,1.3691721,0.82145536,0.9738641,1.4270282,0.6938152,0.6434294
1002201,0.22487271,0.48965603,1.5194184,0.93533826,0.3248008,1.5146221,0.749179,1.538898,1.2058464,0.28230503,1.1623006,1.7874408,0.23815046,1.9962537,0.37695158,0.4281519,0.41414532,1.8471458,1.0645967,0.6034705,2.4754872,0.3720023,0.32872677,0.8443408,0.6004871,0.827095,0.41087762,1.4937788,1.5926083,0.6262429,0.93284124,1.3790686,1.055167,0.8366539,0.6109607,0.52899516,0.56452334,0.59061825,0.5070506,0.37462163,0.9505721,1.6749768,0.8767526,0.566391,1.0320535,0.57282996,1.3741605,0.27765018,0.77335757,0.55356085,1.8545884,1.1497934,0.6153134,0.5346676,0.47605276,1.3410412,1.505571,0.7878396,1.6654935,0.6563789,0.77250516,1.5112619,0.7237774,0.60438836
