eID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,TRACTCE,GEOID,cell,geometry
28,60.01115,-240.39497,-33.868057,107.35709,103.66979,56.104267,117.63329,-73.26594,25.926468,121.92275,123.92302,94.81182,73.31255,54.75995,-94.17943,151.79929,42.685818,-62.534348,2.483063,-170.17094,-19.094028,196.07938,84.17278,61.19737,-9.331884,-20.27986,-142.23769,112.09578,113.80702,29.114048,110.01225,-75.42747,40.822582,-43.137592,47.537624,91.09987,61.24932,-97.24667,-48.802288,-46.169052,-107.389,87.60562,28.443865,96.428604,-61.186882,-3.2162337,153.43408,57.083862,46.425117,78.65812,194.78226,-164.0429,-57.031994,-26.90585,-14.314248,-5.0382304,-70.75252,-53.87874,-51.93483,176.14673,49.05072,156.48695,172.86227,68.00827,842300,17031842300,613164976204414975,"POLYGON ((-87.6581146607695 41.917135363437126, -87.6641574141081 41.9153279586701, -87.66480295387437 41.910674452795256, -87.6594068965969 41.9078284087866, -87.6533648677665 41.90963535694663, -87.65271817173792 41.91428880566971, -87.6581146607695 41.917135363437126))"
46,8.05034,-31.462915,-4.585899,14.470129,13.809141,7.5975404,16.186155,-10.048752,2.8539867,15.6970005,16.77575,12.6057625,10.169628,8.787299,-12.838653,20.259762,5.8588467,-8.508402,-0.14364138,-22.938591,-2.4233649,25.953875,11.133456,7.666129,-0.15546466,-2.1260924,-18.706081,15.601767,15.829841,3.6680412,15.044296,-9.742688,4.9997997,-5.93039,6.929925,12.631388,6.6502156,-13.02211,-7.292351,-6.238727,-14.581068,11.282235,3.5772686,13.966166,-7.529137,0.14447841,20.338688,8.430043,6.2916045,10.312692,25.310848,-22.410566,-7.048234,-3.505349,-2.0672188,-0.05460286,-8.894641,-6.958317,-6.695187,23.345203,6.025725,20.688932,23.226488,7.9798646,838800,17031838800,613164931115646975,"POLYGON ((-87.56572253111187 41.6686695378146, -87.57173786160077 41.66687399893184, -87.57238935105971 41.66223459691615, -87.56702665365347 41.659390793013856, -87.56101204302034 41.66118587829453, -87.56035940997042 41.66582522102742, -87.56572253111187 41.6686695378146))"
47,1.2819724,-1.2181172,0.22815317,0.9236456,1.3089762,0.5416403,1.5143522,-0.95163393,-0.2135516,0.08425671,1.0326653,0.9498372,0.8013016,-0.2248055,-0.45946276,1.0451097,-0.51328886,-0.19708452,1.1006753,-0.91281337,-1.2740805,1.8992298,0.3258884,-0.41194063,-0.5714327,-0.5257792,-0.12747109,0.11306208,0.10292661,0.90578973,0.2794199,0.27438274,0.7288835,-0.2279836,-0.17232397,0.24211848,1.2579457,-1.0942554,-0.13421077,-0.97248733,-1.5360594,1.007617,-0.54722714,1.3193009,-0.4191956,-1.1483213,1.1947229,0.95512503,1.2923287,-0.47083393,1.8572242,-0.47545666,-0.4234372,0.40529144,-0.39128333,-0.7791624,-0.68839115,0.7063755,0.047248453,1.0031433,0.34474754,0.9634219,0.63559586,0.49392533,838800,17031838800,613164931119841279,"POLYGON ((-87.54374618509459 41.70189910473116, -87.54976701275766 41.70010369485457, -87.55042120832631 41.69546239580389, -87.54505572142224 41.692616566325896, -87.53903561538438 41.69441152263308, -87.53838027465837 41.69905276193547, -87.54374618509459 41.70189910473116))"
49,4.8666964,-19.200592,-2.5793986,8.483059,8.3049965,4.6759753,9.574657,-6.021861,1.9265586,9.804175,9.995244,7.6034822,6.043993,4.495567,-7.5423374,12.06962,3.2962656,-5.100618,0.47102052,-13.582664,-1.5612582,15.821548,6.6913075,4.975108,-0.7729242,-1.6835586,-11.275465,9.029586,9.225559,2.1405408,8.670355,-6.019125,3.4314418,-3.539805,3.7179074,7.5564113,4.8190947,-7.956883,-3.9277923,-3.7908373,-8.912846,6.905905,2.2014737,7.8595524,-4.7918816,-0.3889344,12.403989,4.68966,3.8799546,6.2459846,15.570734,-13.1706505,-4.5848713,-1.9519521,-1.2932787,-0.5110081,-5.862204,-4.2646112,-4.2105956,14.021421,3.7574341,12.394601,13.553347,5.2130547,838800,17031838800,613164947511181311,"POLYGON ((-87.60263213717758 41.69321536893152, -87.60864867773971 41.69141727031747, -87.60929675298974 41.68677647059438, -87.60392943264102 41.68393382789996, -87.59791361146294 41.68573147226351, -87.59726439128201 41.69037221351975, -87.60263213717758 41.69321536893152))"
50,281.58224,-1135.3801,-159.3629,504.63095,488.70282,264.424,551.5963,-344.69824,123.47052,577.22705,583.2746,447.5394,344.1119,253.70901,-442.33093,714.4781,202.8288,-294.3762,14.68868,-800.6991,-90.30956,924.43317,396.74304,290.29898,-47.766693,-98.35365,-671.7807,527.88293,534.3083,136.74706,516.03076,-357.56027,195.42451,-202.20612,222.62846,430.7119,293.19406,-458.12387,-228.3054,-218.99388,-504.11813,413.1701,134.39618,450.3105,-291.59116,-16.96749,724.7169,265.10403,218.63177,371.95847,919.37616,-770.844,-270.0589,-125.626495,-68.09376,-26.45388,-337.14368,-255.47614,-246.91666,831.52826,231.52191,737.9383,812.25024,324.11185,838800,17031838800,613164947519569919,"POLYGON ((-87.5959655571558 41.699654490409905, -87.60198329274414 41.69785653665524, -87.60263213717758 41.69321536893152, -87.59726439128201 41.69037221351975, -87.5912473755012 41.6921697130605, -87.59059738584097 41.696810822174704, -87.5959655571558 41.699654490409905))"
51,11.00478,-42.37171,-6.1156616,19.786554,19.158169,9.492983,22.27554,-13.231138,3.9397924,21.128569,22.442616,17.556955,13.545084,11.028503,-17.682419,27.435804,6.9606605,-10.696039,-0.8770224,-31.445995,-3.6292596,34.511494,14.96557,10.096722,-0.11486715,-2.2452376,-25.239351,21.325724,21.6983,5.764421,20.930029,-12.985931,6.389858,-8.078535,9.217679,15.848148,9.195412,-16.859158,-9.110237,-7.329007,-19.329796,15.337845,5.1276264,18.590899,-10.242485,0.07056858,26.807627,11.507202,8.226131,13.870909,34.224323,-30.61467,-9.678988,-5.288025,-2.471638,0.6956499,-11.663294,-8.797778,-8.3843775,31.51411,8.718772,27.92982,31.782063,10.952553,838800,17031838800,613164947641204735,"POLYGON ((-87.59514455597291 41.664328620151565, -87.60115774512998 41.662531739470566, -87.60180617869288 41.657892587889336, -87.5964425666087 41.65505037557985, -87.59043009618894 41.656846802318896, -87.58978051914852 41.66148589525719, -87.59514455597291 41.664328620151565))"
54,1.3214447,-5.007249,-0.6842027,2.1653657,2.142223,1.2041163,2.6697938,-1.6309994,0.5815245,2.4833302,2.696159,2.0541694,1.5933033,1.2288896,-2.069408,3.2247548,0.7471214,-1.3966732,0.09365419,-3.6043048,-0.45271122,4.134409,1.9499842,1.2689139,-0.115576595,-0.37774554,-2.9230688,2.4127872,2.4461577,0.57815206,2.3710465,-1.5258158,0.8321737,-0.9222634,0.97477406,1.9229884,1.2001208,-2.1223836,-0.9336972,-0.8478562,-2.5616179,1.8370043,0.59510946,2.1327076,-1.256761,-0.16954668,3.193993,1.4416965,0.9179075,1.6438519,4.0966635,-3.746207,-1.2213315,-0.70922834,-0.34550548,-0.07316093,-1.51545,-1.132441,-0.98699915,3.6609805,0.9310668,3.1581302,3.6118987,1.3034598,843400,17031843400,613164978171543551,"POLYGON ((-87.72490851082529 41.85253614347721, -87.73093920889171 41.85072727476546, -87.73157702094252 41.84607743809431, -87.72618528821137 41.84323652580156, -87.72015531037276 41.845044937541374, -87.7195163450694 41.849694718493346, -87.72490851082529 41.85253614347721))"
59,3.4174776,-12.503618,-1.6613008,5.5658174,5.5137696,2.9729767,6.4858546,-4.105825,1.3416878,6.12669,6.675136,5.1449323,3.9012043,2.8248367,-5.052433,8.083518,1.9651419,-3.3065383,0.3324309,-8.953137,-1.285417,10.481093,4.6678586,3.0048532,-0.48867053,-1.0748492,-7.2911696,5.8371925,5.832733,1.6790249,5.8726397,-3.7870936,2.2266672,-2.20087,2.3391724,4.6699324,3.3417299,-5.291817,-2.4038815,-2.4385855,-6.1477714,4.6973467,1.3483391,5.3102045,-3.31977,-0.46661305,8.080297,3.4070966,2.5489025,3.8869548,10.412597,-8.809722,-3.112982,-1.544108,-0.83879083,-0.29283565,-3.8065007,-2.6053066,-2.4767354,9.22154,2.4905062,8.036124,9.020764,3.514781,842600,17031842600,613164979910082559,"POLYGON ((-87.64688821724553 41.83133207916435, -87.65292036477497 41.829527736274414, -87.6535658549487 41.82487908598758, -87.64818034956382 41.82203483597552, -87.64214892423547 41.823838723034015, -87.64150228212334 41.82848731588356, -87.64688821724553 41.83133207916435))"
67,1.8280789,-7.284033,-0.94243,3.0598216,3.1594696,1.8123412,3.716386,-2.35824,0.6270737,3.6614716,3.9631984,2.9249656,2.3388507,1.903836,-2.931675,4.578125,1.2045126,-1.9774743,0.13759035,-5.098838,-0.4828748,5.880141,2.5823464,1.8378853,-0.03072508,-0.5076231,-4.1802673,3.674081,3.7203758,0.66273856,3.3893673,-2.3097692,1.1146132,-1.2770824,1.4607272,3.0435562,1.512532,-3.0392568,-1.5986657,-1.3687057,-3.4698544,2.4607809,0.84573746,3.059266,-1.7339033,-0.10848507,4.74545,1.8940489,1.386955,2.41775,5.6439977,-5.1979885,-1.8168577,-0.81722593,-0.59483016,0.026942214,-2.1848748,-1.6337112,-1.4981652,5.2483335,1.2728231,4.5260983,5.1522517,1.8330824,842600,17031842600,613164979964608511,"POLYGON ((-87.66691520804413 41.81197376255555, -87.6729437496753 41.81016898177796, -87.67358692482487 41.80552143319971, -87.66820270941633 41.80267872235467, -87.66217488870669 41.80448304719118, -87.66153056251629 41.809130538761366, -87.66691520804413 41.81197376255555))"
72,23.581635,-93.03743,-13.134573,41.83094,40.25866,21.837803,46.13565,-28.699816,9.873451,46.998512,48.30416,36.790752,28.692665,21.825918,-36.75356,59.15916,16.382963,-24.445004,0.78459185,-66.320366,-7.41973,76.34603,32.762585,23.580908,-3.3170326,-7.6282115,-55.082253,43.54284,44.34133,11.38827,43.085945,-29.038416,15.674654,-16.866747,18.498241,35.298763,23.38366,-37.9515,-19.141527,-17.916365,-42.19203,34.043213,10.898832,38.086117,-23.487795,-1.1989369,59.555958,22.74148,18.193909,30.300056,75.698044,-63.938065,-22.061644,-10.512118,-5.5007133,-1.7363428,-27.143242,-20.691835,-19.900595,68.33777,19.007582,60.723866,67.265236,25.9679,841900,17031841900,613164976319758335,"POLYGON ((-87.6296381907379 41.87214118110682, -87.63567659814616 41.87033651425073, -87.63632442172919 41.8656855493444, -87.6309349918529 41.86283930903798, -87.6248973085048 41.864643519979374, -87.62424833100549 41.869294427089336, -87.6296381907379 41.87214118110682))"
